Ticker,Name,SECTOR,22년 1분기_PBR,22년 2분기_PBR,22년 3분기_PBR,22년 4분기_PBR,23년 1분기_PBR,23년 2분기_PBR,23년 3분기_PBR,23년 4분기_PBR,24년 1분기_PBR,24년 2분기_PBR,24년 3분기_PBR,24년 4분기_PBR,25년 1분기_PBR,22년 1분기_PER,22년 2분기_PER,22년 3분기_PER,22년 4분기_PER,23년 1분기_PER,23년 2분기_PER,23년 3분기_PER,23년 4분기_PER,24년 1분기_PER,24년 2분기_PER,24년 3분기_PER,24년 4분기_PER,25년 1분기_PER
19440,세아특수강,금속,0.43,0.4,0.41,0.51,0.44,0.42,0.37,0.34,0.34,0.35,0.35,0.35,0.33,,5.09,5.19,6.46,5.53,7.72,6.96,6.41,6.27,,,,
19490,엑시큐어하이트론,전기·전자,1.11,0.81,0.81,0.81,0.81,1.29,1.29,1.18,0.84,4.64,5.74,13.13,4.83,,,,,,,,,,,,,
19540,일지테크,운송장비·부품,0.43,0.41,0.34,0.31,0.37,0.51,0.67,0.59,0.61,0.53,0.5,0.42,0.43,,,,,,,,,,2.03,1.89,1.6,1.63
19550,SBI인베스트먼트,금융,2.23,2.01,1.71,1.39,1.38,1.49,1.21,1.04,1.22,1.13,1.04,0.93,0.95,17.41,11.95,10.15,8.26,8.21,,,,,17.04,15.62,14.01,14.24
19570,플루토스,금융,1.21,1.18,0.98,1.14,1.09,1.05,1.11,0.81,0.82,1.02,0.77,0.58,0.44,4.58,4.47,,,,,,,,,,,
19590,에스유앤피,금융,8.92,6.78,6.83,6.13,4.18,5.67,6.52,5.18,5.71,3.93,3.93,3.93,3.93,,318.29,320.49,287.52,195.95,,,,,16.17,16.17,16.17,16.17
19660,글로본,유통,12.83,16.1,14.66,13.82,9.66,13.19,12.61,9.25,6.8,7.67,5.97,5.42,8.38,,,,,,,,,,,,,
19680,대교,일반서비스,0.69,0.59,0.48,0.42,0.47,0.57,0.51,0.52,0.56,0.67,0.6,0.63,0.6,,,,,,,,,,,,,
19770,서연탑메탈,기계·장비,1.05,0.94,0.89,0.71,0.7,0.68,0.64,0.61,0.66,0.53,0.55,0.51,0.51,20.1,17.4,16.44,13.18,13.01,18.56,17.51,16.68,18.0,5.22,5.48,5.03,5.05
19990,에너토크,기계·장비,3.14,2.75,2.28,1.88,2.14,1.96,1.55,1.32,1.43,1.65,1.57,1.34,1.33,278.36,67.01,55.62,45.83,52.07,113.74,90.05,76.55,83.47,,,,
